,Time,T2s_1s,W10s_1s,Wds_1s
90,2018-03-29 20:00:00,15.701843,3.0983703,349.11642
91,2018-03-12 14:00:00,16.318085,1.1150086,217.54123
92,2018-03-24 00:00:00,15.189697,6.309576,4.6405334
93,2018-03-20 13:00:00,16.210907,0.55729014,7.1085815
94,2018-03-13 22:00:00,16.90503,9.321121,9.4505005
95,2018-03-02 21:00:00,17.257324,8.383102,11.479004
96,2018-03-01 04:00:00,13.21051,0.57952255,203.98087
97,2018-03-14 13:00:00,17.673431,1.0189602,188.88556
98,2018-03-16 04:00:00,14.160095,4.04502,350.56406
99,2018-03-28 08:00:00,9.84494,0.68772817,194.88245
100,2018-03-09 13:00:00,15.413605,0.70180815,207.7301
101,2018-03-28 23:00:00,12.471008,2.2137887,324.96027
102,2018-03-07 12:00:00,11.417114,0.21011563,222.32878
103,2018-03-31 16:00:00,16.406616,3.4324975,217.51567
104,2018-03-02 17:00:00,19.669708,5.1493645,349.86447
105,2018-03-22 08:00:00,11.935883,2.5608854,344.00842
106,2018-03-28 17:00:00,16.576355,8.299221,4.647339
107,2018-03-23 13:00:00,17.445984,4.524014,358.28925
108,2018-03-20 18:00:00,21.632996,4.512868,183.20508
109,2018-03-29 22:00:00,13.894257,3.1414423,326.30353
110,2018-03-15 05:00:00,14.230988,0.93498695,76.291534
111,2018-03-19 03:00:00,14.546692,5.347101,0.88235474
112,2018-03-29 02:00:00,12.429413,0.8940408,169.17188
113,2018-03-03 21:00:00,16.157501,5.300907,337.448
114,2018-03-10 06:00:00,12.309326,1.3217518,138.5913
115,2018-03-11 19:00:00,22.007385,4.1225877,339.1894
116,2018-03-15 03:00:00,14.414703,5.4685907,352.52905
117,2018-03-11 08:00:00,12.933502,0.41103792,57.43187
118,2018-03-17 06:00:00,12.7109375,5.11423,345.6619
119,2018-03-10 19:00:00,20.16919,0.588991,317.7379
120,2018-03-25 10:00:00,11.887665,1.5343597,42.246857
121,2018-03-31 02:00:00,10.650085,3.1740267,346.30243
122,2018-03-22 00:00:00,14.336243,2.4185874,346.9049
123,2018-03-17 07:00:00,12.120544,4.703304,346.27856
124,2018-03-17 13:00:00,16.63681,1.8666022,194.73244
125,2018-03-09 04:00:00,13.004059,1.2376359,190.2533
126,2018-03-13 14:00:00,19.135284,1.6196301,170.41675
127,2018-03-01 09:00:00,10.524658,1.5552231,11.781921
128,2018-03-28 22:00:00,13.484741,3.951776,341.73413
129,2018-03-17 12:00:00,15.372498,1.7317338,259.20364
130,2018-03-20 14:00:00,17.872406,1.8563985,347.46704
131,2018-03-18 21:00:00,20.699524,6.462902,4.461151
132,2018-03-31 01:00:00,9.791382,2.075238,318.63846
133,2018-03-23 19:00:00,20.056122,9.571419,9.742279
134,2018-03-12 11:00:00,10.844879,0.5476112,146.61969
135,2018-03-25 19:00:00,12.047119,1.1587853,109.97531
136,2018-03-03 18:00:00,19.203674,12.110641,5.941223
137,2018-03-09 18:00:00,15.682831,9.368209,6.794098
138,2018-03-18 22:00:00,16.738617,10.989732,15.0598755
139,2018-03-07 01:00:00,12.692047,1.5969099,169.2681
140,2018-03-20 20:00:00,18.384277,8.389153,11.577179
141,2018-03-18 03:00:00,14.70694,3.7641852,6.5090637
142,2018-03-08 07:00:00,10.857056,0.7851063,191.10933
143,2018-03-29 16:00:00,13.5190735,1.4337158,241.44522
144,2018-03-06 17:00:00,16.922302,5.70387,341.95685
145,2018-03-24 03:00:00,13.887329,7.4315214,9.291809
146,2018-03-19 01:00:00,15.262451,7.766475,0.51812744
147,2018-03-25 14:00:00,11.92981,1.8515204,185.32478
148,2018-03-17 20:00:00,19.589111,9.002346,2.9414978
149,2018-03-03 08:00:00,12.795532,0.93097603,120.86221
150,2018-03-02 20:00:00,19.369263,9.421315,1.7471008
151,2018-03-22 23:00:00,15.440857,7.9599977,7.092682
152,2018-03-04 10:00:00,12.388123,8.302487,339.32028
153,2018-03-11 14:00:00,18.176666,1.5123281,210.54614
154,2018-03-03 04:00:00,12.903992,1.8037561,208.55484
155,2018-03-14 05:00:00,15.453552,2.6460238,6.9577026
156,2018-03-31 21:00:00,14.9935,5.834568,4.311493
157,2018-03-27 17:00:00,17.205017,5.8281646,6.8539734
158,2018-03-12 23:00:00,15.118988,8.262291,6.9119263
159,2018-03-16 06:00:00,12.982025,6.2453117,11.152161
160,2018-03-14 00:00:00,16.375092,7.1955442,10.368866
161,2018-03-03 10:00:00,11.395477,3.046406,318.1258
162,2018-03-26 08:00:00,8.037415,0.44980183,37.59543
163,2018-03-26 23:00:00,11.053741,3.0798228,331.60593
164,2018-03-30 08:00:00,8.43512,1.4972616,320.70193
165,2018-03-05 10:00:00,11.012604,1.4257147,308.4266
166,2018-03-13 07:00:00,13.399231,1.335556,53.597046
167,2018-03-17 23:00:00,16.525116,6.1164403,1.3999939
168,2018-03-31 17:00:00,17.059479,3.3079615,217.94357
169,2018-03-27 00:00:00,11.393524,1.7731175,23.000519
170,2018-03-19 19:00:00,21.59018,3.040179,165.58934
171,2018-03-20 21:00:00,17.424164,7.584348,7.8688354
172,2018-03-13 00:00:00,14.302856,9.161688,5.821228
173,2018-03-14 10:00:00,14.023621,7.107398,20.248383
174,2018-03-10 10:00:00,11.182434,2.8910615,188.82611
175,2018-03-30 12:00:00,10.769318,1.1722455,5.908722
176,2018-03-07 14:00:00,14.943237,1.9810098,202.36804
177,2018-03-11 18:00:00,21.829071,5.043685,15.892792
178,2018-03-14 04:00:00,15.81897,3.559388,325.04044
179,2018-03-22 09:00:00,12.137817,5.443678,8.256378
180,2018-03-21 22:00:00,17.266754,3.257878,187.12572
181,2018-03-27 11:00:00,8.928314,0.8221844,357.05457
182,2018-03-12 12:00:00,11.708771,0.66478753,121.90941
183,2018-03-27 13:00:00,13.399658,2.216937,194.8888
184,2018-03-23 01:00:00,14.747559,6.3092766,10.530304
185,2018-03-08 20:00:00,17.887634,5.5745783,4.784027
186,2018-03-09 15:00:00,18.888123,3.7388563,347.6931
187,2018-03-22 20:00:00,17.594177,9.795882,6.9127197
188,2018-03-27 04:00:00,9.684998,2.4060652,328.02908
189,2018-03-11 01:00:00,15.005524,7.495513,10.448669
190,2018-03-23 09:00:00,12.0347595,4.210483,6.285797
191,2018-03-11 06:00:00,14.247925,5.5667014,10.377411
192,2018-03-16 13:00:00,15.279388,1.4306017,212.32663
193,2018-03-13 16:00:00,22.300446,3.2158813,353.06403
194,2018-03-11 21:00:00,19.581268,5.79042,347.1727
195,2018-03-15 04:00:00,14.164612,11.571267,6.8262024
196,2018-03-18 11:00:00,13.856567,2.5811687,339.6006
197,2018-03-12 09:00:00,12.506989,1.1745958,7.463562
198,2018-03-16 07:00:00,11.457031,5.0648103,338.9947
199,2018-03-14 15:00:00,20.790161,3.8060632,355.38287
200,2018-03-09 22:00:00,16.349579,2.0765269,6.154419
201,2018-03-01 16:00:00,16.503723,8.548822,349.37354
202,2018-03-19 13:00:00,16.448883,2.3510003,210.84554
203,2018-03-11 16:00:00,21.111847,2.9547818,168.3085
204,2018-03-06 22:00:00,15.216888,6.462111,5.11911
205,2018-03-28 13:00:00,12.355133,0.63603806,200.31776
206,2018-03-31 06:00:00,7.8143005,1.8147148,2.3423462
207,2018-03-26 22:00:00,12.779663,3.1374424,358.1667
208,2018-03-01 15:00:00,15.946869,1.1502599,200.37819
209,2018-03-21 21:00:00,18.927734,3.7533276,186.98016
210,2018-03-22 01:00:00,14.35611,0.7313499,59.99701
211,2018-03-25 13:00:00,11.790009,1.0847045,194.4939
212,2018-03-21 02:00:00,14.537903,6.5049806,342.34793
213,2018-03-09 09:00:00,11.735474,1.8422892,158.11067
214,2018-03-22 14:00:00,18.604248,3.2774863,339.1416
215,2018-03-20 05:00:00,13.006226,0.61927927,309.0385
216,2018-03-30 17:00:00,14.8532715,2.118966,192.37383
217,2018-03-17 21:00:00,18.660156,9.287698,10.046173
218,2018-03-21 01:00:00,15.082611,4.311794,324.60117
219,2018-03-12 10:00:00,11.057678,1.0345988,201.93869
220,2018-03-23 08:00:00,13.097992,2.6892822,0.24584961
221,2018-03-05 12:00:00,12.728973,0.9115964,69.391266
222,2018-03-07 09:00:00,10.043457,0.67016405,198.41806
223,2018-03-13 23:00:00,17.048218,7.490915,7.2890625
224,2018-03-29 18:00:00,15.285889,4.709803,340.52942
225,2018-03-11 11:00:00,12.7789,0.39424795,311.57632
226,2018-03-27 18:00:00,16.691925,5.767298,16.628052
227,2018-03-26 17:00:00,16.80774,4.4755077,340.98654
228,2018-03-19 18:00:00,21.779175,4.999613,220.11368
229,2018-03-26 14:00:00,13.969971,1.6591014,197.85391
230,2018-03-16 18:00:00,20.278564,5.9808187,6.494049
231,2018-03-05 17:00:00,19.230377,3.935889,345.74557
232,2018-03-03 16:00:00,19.890564,7.869122,2.3875732
233,2018-03-04 08:00:00,12.705353,4.420659,349.49515
234,2018-03-27 14:00:00,15.323273,3.2758603,188.52577
235,2018-03-27 01:00:00,11.582703,0.68085366,279.66125
236,2018-03-17 09:00:00,12.754089,2.404982,22.338104
237,2018-03-14 07:00:00,14.882385,1.4538255,352.30768
238,2018-03-13 19:00:00,22.68222,3.8703804,352.1153
239,2018-03-02 13:00:00,14.168335,1.8937683,110.6667
240,2018-03-14 18:00:00,20.739838,10.594504,11.360779
241,2018-03-03 22:00:00,15.243225,5.8577538,339.18216
242,2018-03-10 18:00:00,18.967987,1.9485458,352.49817
243,2018-03-21 15:00:00,16.752441,2.1454654,198.07022
244,2018-03-30 18:00:00,13.186005,2.5129685,201.40463
245,2018-03-16 08:00:00,11.095642,1.1763632,155.67133
246,2018-03-06 23:00:00,14.855743,3.792549,329.93604
247,2018-03-04 17:00:00,18.842438,7.4856806,350.65466
248,2018-03-03 09:00:00,12.350098,1.0167825,100.49437
249,2018-03-27 16:00:00,17.412384,5.6293516,8.660706
250,2018-03-04 07:00:00,12.779053,4.454963,349.2456
251,2018-03-13 12:00:00,15.991608,0.8527138,187.08969
252,2018-03-06 02:00:00,15.187988,4.7672615,10.496246
253,2018-03-04 15:00:00,17.96103,6.290262,343.59778
254,2018-03-12 01:00:00,15.337555,3.9111106,0.8590698
