,Time,T2s_1s,W10s_1s,Wds_1s
90,2018-03-19 03:00:00,14.919647,4.9159594,334.08688
91,2018-03-03 21:00:00,18.2872,8.0044155,357.1589
92,2018-03-10 06:00:00,12.758301,1.1442761,104.33693
93,2018-03-11 19:00:00,21.35315,4.493213,341.178
94,2018-03-15 03:00:00,14.588806,4.420204,3.02063
95,2018-03-11 08:00:00,12.93689,4.436702,6.678528
96,2018-03-17 06:00:00,13.568024,2.447874,301.6081
97,2018-03-10 19:00:00,18.726135,5.7817273,346.15417
98,2018-03-25 10:00:00,9.942352,8.757606,334.0074
99,2018-03-22 00:00:00,13.824158,5.6314883,12.758484
100,2018-03-17 07:00:00,14.022003,1.446219,198.11273
101,2018-03-17 13:00:00,17.340942,3.9023979,3.5964966
102,2018-03-09 04:00:00,14.024048,0.83572733,234.98788
103,2018-03-13 14:00:00,18.926392,2.2698843,204.03542
104,2018-03-01 09:00:00,10.063324,1.6538882,66.76761
105,2018-03-17 12:00:00,15.400848,2.764191,313.69168
106,2018-03-20 14:00:00,17.538269,6.41334,356.728
107,2018-03-18 21:00:00,19.512299,8.94154,14.564545
108,2018-03-23 19:00:00,20.444305,10.348905,1.3034668
109,2018-03-12 11:00:00,11.221558,1.662958,59.189026
110,2018-03-25 19:00:00,13.048248,4.621098,189.95471
111,2018-03-03 18:00:00,18.968262,10.094067,358.9781
112,2018-03-09 18:00:00,18.94925,6.019093,10.879028
113,2018-03-18 22:00:00,16.90091,10.53304,11.550262
114,2018-03-07 01:00:00,14.49411,2.288612,297.67392
115,2018-03-20 20:00:00,19.031555,4.494586,333.89948
116,2018-03-18 03:00:00,15.327209,7.7803617,3.2172546
117,2018-03-08 07:00:00,11.253937,1.2468609,153.24721
118,2018-03-06 17:00:00,18.405945,2.0595365,264.95926
119,2018-03-24 03:00:00,14.409821,8.589683,10.57489
120,2018-03-19 01:00:00,16.21466,8.285341,10.80603
121,2018-03-25 14:00:00,13.649139,2.4203887,176.8417
122,2018-03-17 20:00:00,21.25711,5.8469725,10.911438
123,2018-03-03 08:00:00,11.648529,0.5342618,313.0262
124,2018-03-02 20:00:00,18.817291,10.173726,3.934143
125,2018-03-22 23:00:00,14.971954,9.526704,9.285431
126,2018-03-04 10:00:00,12.869385,7.006312,6.135132
127,2018-03-11 14:00:00,19.059113,2.044301,334.27252
128,2018-03-03 04:00:00,13.595459,5.7839465,342.11523
129,2018-03-14 05:00:00,15.305084,2.1859422,163.95018
130,2018-03-27 17:00:00,14.717102,11.305227,14.525879
131,2018-03-12 23:00:00,15.778137,4.4699597,3.9165955
132,2018-03-16 06:00:00,13.7535095,2.1349957,188.44037
133,2018-03-14 00:00:00,17.078644,5.846399,352.2689
134,2018-03-03 10:00:00,11.428162,4.088685,324.92276
135,2018-03-26 08:00:00,7.077362,0.80295444,265.61044
136,2018-03-26 23:00:00,10.926453,3.8949633,351.77374
137,2018-03-05 10:00:00,10.197357,2.2103758,353.06876
138,2018-03-13 07:00:00,13.031799,2.3790789,3.4102783
139,2018-03-17 23:00:00,16.90271,3.1916869,9.455536
